WMO,ICAO,RAOB STATION NAME,ST,CO,EL,  LAT,N, LONG,E
61976,----,SERGE-FROLOW/TROME,,RE,13,15.88,S,54.52,E
61980,FMEE,ST. DENIS/GILLO,,RE,25,20.88,S,55.52,E
61986,----,ST. BRANDON ISLAND,,RE,4,16.45,S,59.62,E
61988,FIMR,RODRIGUES,,RE,59,19.41,S,63.25,E
61995,----,VACOAS,,MA,425,20.3,S,57.5,E
61996,----,MARTIN DE VIVIES,,FR,29,37.8,S,77.53,E
61997,----,ALFRED FAURE/CROZE,,FR,146,46.43,S,51.87,E
61998,----,PORT-AUX-FRANCAIS,,FR,30,49.35,S,70.25,E
62010,HLLT,TRIPOLI INTL ARPT,,LY,81,32.67,N,13.15,E
62019,----,SIRTE,,LY,13,31.2,N,16.58,E
62053,HLLB,BENINA/BENGHAZI,,LY,132,32.08,N,20.27,E
62055,----,AGEDABIA,,LY,6,30.72,N,20.17,E
62059,----,DERNA,,LY,9,32.73,N,22.63,E
62062,----,TOBRUK,,LY,50,32.1,N,23.92,E
62103,HLTD,GHADAMES,,LY,357,30.13,N,9.5,E
62120,----,GARIAT EL SHARGHIA,,LY,501,30.38,N,13.58,E
62124,HLLS,SEBHA (AUT),,LY,432,27.02,N,14.43,E
62271,----,KUFRA,,LY,407,24.22,N,23.3,E
62301,----,SIDI BARRANI,,EG,24,31.62,N,25.9,E
62305,----,SALLOUM PLATEAU,,EG,179,31.57,N,25.3,E
62306,HEMM,MERSA MATRUH (MIL),,EG,30,31.33,N,27.22,E
62309,----,DABAA,,EG,18,30.93,N,28.47,E
62318,HEAX,ALEXANDRIA,,EG,7,31.2,N,29.95,E
62333,HEPS,PORT SAID,,EG,6,31.27,N,32.3,E
62337,HEAR,EL ARISH,,EG,32,31.08,N,33.83,E
62338,----,GHAZZA,,EG,16,31.5,N,34.45,E
62371,----,CAIRO HQ,,EG,26,30.08,N,31.28,E
62378,----,HELWAN,,EG,141,29.87,N,31.33,E
62387,----,MINYA,,EG,40,28.08,N,30.73,E
