,WMO,FAA,Station Name,Continent,ICAO,RAOB STATION NAME,ST,CO,EL,  LAT,N, LONG,E
36,23921,,"Ivdel, SV",Arctic,,IVDEL',SV,RA,101,60.68,N,60.43,E
37,23933,USHH,"Hanty-Mansijsk, NO ",Arctic,USHH,HANTY-MANSIJSK,NO,RA,40,60.97,N,69.07,E
38,23955,,"Aleksandrovskoe, NO",Arctic,,ALEKSANDROVSKOE,NO,RA,47,60.43,N,77.87,E
39,24122,,"Olenek, HA",Arctic,,OLENEK,HA,RA,220,68.5,N,112.43,E
40,24266,,"Verhojansk, HA",Arctic,,VERHOJANSK,HA,RA,137,67.55,N,133.38,E
41,24343,,"Zhigansk, HA",Arctic,,ZIGANSK,HA,RA,93,66.77,N,123.4,E
42,24507,,"Tura, NO",Arctic,,TURA,NO,RA,186,64.27,N,100.23,E
43,24641,,"Viljujsk, HA",Arctic,,VILJUJSK,HA,RA,107,63.77,N,121.62,E
44,24688,,"Ojmjakon, HA",Arctic,,OJMJAKON,HA,RA,745,63.27,N,143.15,E
45,24726,,"Mirnvy, HB",Arctic,UERR,MIRNY,HB,RA,347,62.55,N,113.88,E
46,24908,,"Vanavara, NO",Arctic,,VANAVARA,NO,RA,260,60.33,N,102.27,E
47,24947,,"Olekminsk, HA",Arctic,,OLEKMINSK,HA,RA,226,60.37,N,120.42,E
48,24959,UEEE,"Jakutsk, HA ",Arctic,UEEE,YAKUTSK AIRPORT,HA,RA,103,62.08,N,129.75,E
49,25123,,"Cherskij, HA",Arctic,,CERSKIJ,HA,RA,32,68.8,N,161.28,E
50,25403,,"Zyrjanka, HA",Arctic,,ZYRYANKA,HA,RA,43,65.73,N,150.9,E
51,25703,,"Sejmchan, HA",Arctic,,SEJMCAN,HA,RA,207,62.92,N,152.42,E
52,25913,UHMM,"Magadan, HA ",Arctic,UHMM,MAGADAN,HA,RA,118,59.58,N,150.78,E
53,26075,ULLI,"St.Petersburg(Voejkovo), St.Petersburg(Voejkovo), LE ",Arctic,,ST. PETERSBURG,LE,RS,72,59.95,N,30.7,E
54,26298,,"Bologoe, LE",Arctic,,BOLOGOE,LE,RS,178,57.9,N,34.05,E
55,26477,ULOL,"Velikie Luki, LE ",Arctic,ULOL,VELIKIE LUKI,LE,RS,98,56.38,N,30.6,E
56,26781,,"Smolensk, MI",Arctic,,SMOLENSK,MI,RS,241,54.75,N,32.07,E
57,27038,ULWW,"Vologda, AR ",Arctic,,VOLOGDA,AR,RS,130,59.32,N,39.93,E
58,27199,,"Kirov, MS",Arctic,,KIROV,MS,RS,158,58.6,N,49.63,E
59,27459,,"Niznij Novgorod, MS",Arctic,,NIZNIJ NOVGOROD,MS,RS,157,56.27,N,44.0,E
60,27594,,"Kazan (Vyzaovye), MS",Arctic,,KAZAN',,RS,127,55.82,N,48.52,E
61,27713,,"Moskva (Dolgoprudnyj), MS",Arctic,UUDD,MOSCOW POLGOPRUDNY,MS,RS,179,55.4,N,37.9,E
62,27707,,"Suhinici, MS",Arctic,,SUHINICI,MS,RS,239,54.12,N,35.33,E
63,27730,,"Rjazan, MS",Arctic,,RJAZAN',MS,RS,158,54.63,N,39.7,E
64,27962,UWPP,"Penza, MS ",Arctic,UWPP,PENZA,MS,RS,174,53.13,N,45.02,E
65,27995,,"Samara (Bezencuk), MS",Arctic,,BEZENCUKSKAJA,MS,RS,45,52.98,N,49.43,E
66,28225,,"Perm, SV",Arctic,USPP,PERM,SV,RA,170,57.95,N,56.2,E
67,28275,,"Tobolsk, NO",Arctic,,TOBOLSK,NO,RA,44,58.15,N,68.18,E
68,28445,,"Verhnee Dubrovo, SV",Arctic,,VERHNEE DUBROVO,SV,RA,290,56.73,N,61.07,E
69,28661,,"Kurgan, SV",Arctic,,KURGAN,SV,RA,79,55.47,N,65.4,E
70,28722,,"Ufa, SV",Arctic,UWUU,UFA,SV,RA,105,54.75,N,56.0,E
71,28951,,"Kostanai, AK",Arctic,,KOSTANAI,AL,RA,171,53.23,N,63.62,E
72,29263,UNII,"Enisejsk, NO ",Arctic,UNII,YENISEYSK,NO,RA,78,58.45,N,92.15,E
73,29282,,"Bogucany, NO",Arctic,,BOGUCANY,NO,RA,134,58.42,N,97.4,E
74,29572,,"Emeljanovo, NO",Arctic,,EMEL'JANOVO,NO,RA,296,56.18,N,92.62,E
75,29612,,"Barabinsk, NO",Arctic,,BARABINSK,NO,RA,120,55.37,N,78.37,E
76,29634,UNNN,"Novosibirsk, NO ",Arctic,UNNT,NOVOSIBIRSK,NO,RA,177,55.03,N,82.9,E
77,29698,UINN,"Nizhneudinsk, NO ",Arctic,UINN,NIZNE-UDINSK,IR,RA,410,54.88,N,99.03,E
78,29839,,"Barnaul, IR",Arctic,,BARNAUL,NO,RA,159,53.21,N,83.49,E
79,29862,,"Hakasskaja, NO",Arctic,,HAKASSKATA,NO,RA,256,53.77,N,91.32,E
80,30054,,"Vitim, HA",Arctic,,VITIM,HA,RA,193,59.45,N,112.58,E
81,30230,UIKK,"Kirensk, IR ",Arctic,UIKK,KIRENSK,IR,RA,258,57.77,N,108.12,E
82,30309,,"Bratsk, IR",Arctic,UIBB,BRATSK,IR,RA,489,56.07,N,101.83,E
83,30635,,"Ust-Barguzin, IR",Arctic,,UST-BARGUZIN,IR,RA,457,54.42,N,109.02,E
84,30673,,"Mogoca, IR",Arctic,,MOGOCA,IR,RA,619,53.73,N,119.78,E
85,30715,,"Angarsk, IR",Arctic,,ANGARSK,IR,RA,450,52.48,N,103.85,E
86,30758,UIAA,"Chita, IR ",Arctic,UIAA,CITA/KADALA,IR,RA,685,52.02,N,113.33,E
87,30965,,"Borzja, IR",Arctic,,BORZJA,IR,RA,684,50.38,N,116.52,E
88,31004,,"Aldan, HA",Arctic,,ALDAN,HA,RA,682,58.62,N,125.37,E
89,31088,,"Ohotsk, HA",Arctic,,OHOTSK,HA,RA,6,59.37,N,143.2,E
90,31300,,"Zeja, HA",Arctic,,ZEJA,HA,RA,232,53.75,N,127.23,E
91,31369,,"Nikolaevsk-Na-Amure, HA",Arctic,UHNN,NIKOLAEVSK,HA,RA,68,53.15,N,140.7,E
92,31538,,Sutur,Arctic,,SUTUR,HA,RA,349,50.07,N,132.13,E
93,31736,,"Habarovsk, HA",Arctic,,HABAROVSK,HA,RA,72,48.53,N,135.23,E
94,31873,,"Dalnerechensk, HA",Arctic,,DAL'NERECENSK,HA,RA,107,45.87,N,133.73,E
95,31977,,"Vladivostok (Sad Gorod), HA",Arctic,,SAD-GOROD,HB,RA,82,43.27,N,132.05,E
96,32061,,"Aleksandrovsk-Sahalnskij, HA",Arctic,,ALEKSANDROVSK-SAHA,,RA,31,50.9,N,142.17,E
97,32098,,"Poronajsk, HA",Arctic,,PORONAJSK,HA,RA,4,49.22,N,143.1,E
98,32150,UHSS,"Juzhno-Sahalinsk, HA ",Arctic,UHSS,JUZNO-SAHALINSK,HA,RA,31,46.92,N,142.73,E
99,32215,,"Severo-Kurilsk, HA",Arctic,,SEVERO-KURILSK,HA,RA,23,50.68,N,156.13,E
100,32389,,"Kljuchi, HA",Arctic,,KLJUCI,HA,RA,28,56.32,N,160.83,E
101,32477,,Sobolevo,Arctic,,SOBOLEVO,HA,RA,25,54.3,N,155.97,E
102,32540,UHPP,"Kamchatskij, HA ",Arctic,UHPP,PETROPAVLOVSK-KAMC,,RA,24,52.97,N,158.75,E
103,32618,,"Nikolskoe, HA",Arctic,,NIKOLSKOE/BERINGA,HA,RA,6,55.2,N,165.98,E
104,34009,,"Kursk, MS",Arctic,,KURSK,MS,RS,247,51.77,N,36.17,E
105,34122,UUOO,"Voronez, MS ",Arctic,UUOO,VORONEZ,MS,RS,154,51.7,N,39.17,E
106,34172,,"Saratov, MS",Arctic,UWSS,SARATOV,MS,RS,156,51.57,N,46.03,E
107,34247,,"Kalac, MS",Arctic,,KALAC,MS,RS,93,50.42,N,41.05,E
108,34467,URWW,"Volgograd, TB ",Arctic,,VOLOGRAD,TB,RS,141,48.78,N,44.33,E
109,34731,URRR,"Rostov-Na-Donu, TB ",Arctic,URRR,ROSTOV-NA-DONU,TB,RS,77,47.25,N,39.82,E
110,34858,,"Divnoe, TB",Arctic,,DIVNOE,TB,RS,77,46.92,N,45.35,E
111,34882,,"Astrakhan, TB",Arctic,,ASTRAHAN',TB,RS,-17,46.28,N,47.98,E
112,35121,,"Orenburg, AL",Arctic,UWOO,ORENBURG,AL,RA,109,51.78,N,55.22,E
113,35229,UATT,"Aktjubinsk, AL ",Arctic,UATT,AKTJUBINSK,AL,RA,227,50.3,N,57.23,E
114,35700,,"Atyran, AL",Arctic,,GUR'EV,AL,RA,-15,47.02,N,51.85,E
115,36003,,"Pavlodar, AL",Arctic,,PAVLODAR,AL,RA,123,52.28,N,76.95,E
116,37011,,"Tuapse, TB",Arctic,,TUAPSE,TB,RS,52,44.1,N,39.03,E
117,37259,,Mahachkala,Arctic,,MAHACHKALA,TB,RS,19,43.02,N,47.48,E
118,47401,,Wakkanai,Arctic,,WAKKANAI,,JP,11,45.42,N,141.68,E
119,70026,PABR,"Barrow/W. Post W.Rogers, AK ",Arctic,PBRW,BARROW/POST-ROG,AK,US,3,71.3,N,156.78,W
120,70133,PAOT,"Kotzebue, Ralph Wien, AK ",Arctic,POTZ,KOTZEBUE,AK,US,6,66.87,N,162.63,W
121,70200,PAOM,"Nome, AK ",Arctic,POME,NOME,AK,US,6,64.5,N,165.43,W
122,70231,PAMC,"Mcgrath, AK ",Arctic,PMCG,MCGRATH,AK,US,103,62.97,N,155.62,W
123,70261,PAFA,"Fairbanks/Int, AK ",Arctic,PFAI,FAIRBANKS,AK,US,138,64.82,N,147.87,W
124,70273,PANC,"Anchorage/Int, AK ",Arctic,PANC,ANCHORAGE INTL,AK,US,40,61.17,N,150.02,W
125,70308,PASN,"St. Paul, AK ",Arctic,PSNP,SAINT PAUL IS.,AK,US,8,57.15,N,170.22,W
126,70316,PACD,"Cold Bay, AK ",Arctic,PCDB,COLD BAY,AK,US,31,55.2,N,162.72,W
127,70326,PAKN,"King Salmon, AK ",Arctic,PAKN,KING SALMON,AK,US,14,58.68,N,156.65,W
128,70350,PADQ,"Kodiak, AK ",Arctic,PADQ,KODIAK,AK,US,33,57.73,N,152.52,W
129,70361,PAYA,"Yakutat, AK ",Arctic,PYAK,YAKUTAT,AK,US,9,59.5,N,139.68,W
130,71043,YVQ,"Norman Wells Ua, NT ",Arctic,CYVQ,NORMAN WELLS,NT,CN,73,65.28,N,126.8,W
131,71081,YUX,"Hall Beach, NT ",Arctic,CYUX,HALL BEACH,NT,CN,8,68.78,N,81.25,W
132,71082,WLT,"Alert, NT ",Arctic,CWLT,ALERT BAY,NT,CN,63,82.5,N,62.33,W
133,71109,YZT,"Port Hardy, BC ",Arctic,CYZT,PORT HARDY,BC,CN,22,50.68,N,127.37,W
134,71119,WSE,"Edmonton Stony Plain, AB ",Arctic,CWSE,EDMONTON,AB,CN,766,53.55,N,114.1,W
135,71802,AYT,"Mt Pearl, NF ",Arctic,CWDS,ST LAWRENCE,NF,CN,49,46.92,N,55.38,W
136,71811,YZV,"Sept-Iles, QB ",Arctic,CYZV,SEPT-ILES,QB,CN,55,50.22,N,66.27,W
137,71815,YJT,"Stephenville, NF ",Arctic,CYJT,STEPHENVILLE,NF,CN,26,48.53,N,58.55,W
138,71816,YYR,"Goose Bay, NF ",Arctic,CYYR,GOOSE BAY,NF,CN,44,53.3,N,60.37,W
139,71823,YAH,"La Grande Iv, QB ",Arctic,CZAG,LA GRANDE,QB,CN,313,53.75,N,73.67,W
140,71867,YQD,"The Pas, MB ",Arctic,CYQD,THE PAS,MN,CN,271,53.97,N,101.1,W
141,71906,YVP,"Kuujjuaq, QB ",Arctic,CYVP,KUUJJUAQ,QB,CN,37,58.1,N,68.42,W
142,71908,ZXS,"Prince George, BC ",Arctic,CZXS,PRINCE GEORGE,,CN,601,53.9,N,122.8,W
143,71913,YYQ,"Churchill, MB ",Arctic,CYYQ,CHURCHILL,MN,CN,29,58.75,N,94.07,W
144,71917,WEU,"Eureka, NT ",Arctic,CWEU,EUREKA,NT,CN,10,79.98,N,85.93,W
145,71924,YRB,"Resolute, NT ",Arctic,CYRB,RESOLUTE BAY,NT,CN,67,74.72,N,94.98,W
146,71925,YCB,"Cambridge Bay, NT ",Arctic,CYCB,CAMBRIDGE BAY,NT,CN,27,69.1,N,105.12,W
147,71926,YBK,"Baker Lake, NT ",Arctic,CYBK,BAKER LAKE,NT,CN,18,64.3,N,96.08,W
148,71945,YYE,"Fort Nelson, BC ",Arctic,CYYE,FORT NELSON,BC,CN,382,58.83,N,122.6,W
149,71957,YEV,"Inuvik, NT ",Arctic,CYEV,INUVIK,NT,CN,68,68.3,N,133.48,W
150,71964,YXY,"Whitehorse, YT ",Arctic,CYXY,WHITEHORSE,YK,CN,703,60.72,N,135.07,W
151,72797,UIL,"Quillayute, WA ",Arctic,KUIL,QUILLAYUTE,WA,US,62,47.95,N,124.55,W
152,73033,CWVK,"Vernon, BC ",Arctic,CWVK,VERNON BRIDGE,BC,CN,555,50.22,N,119.27,W
